LambdaIndex LambdaValue PolynomialDegree1 PolynomialDegree2 PolynomialDegree3 PolynomialDegree4 PolynomialDegree5 PolynomialDegree6 PolynomialDegree7 PolynomialDegree8 PolynomialDegree9 PolynomialDegree10 PolynomialDegree11 PolynomialDegree12 
3 4.60609969e-06 0.1749692579793293 0.12226347565586662 0.09799085545792463 0.10513479365345132 0.09640896513098451 0.09681054328965148 0.10370100088018468 0.12276167445815996 0.13698314623657318 0.12348609786052259 0.10115736424832217 0.09676592332173069
6 2.12161544e-03 0.17496917482270627 0.1222629863204176 0.09798593297838765 0.10510496223158562 0.09639889627922887 0.0967608076161257 0.10357151909528328 0.12268782563059732 0.13677737517776456 0.12330440350471834 0.1009992014025253 0.09615027694095703
5 2.74719121e-04 0.17496861610507236 0.12226002004260203 0.09794753683136095 0.10487591829141857 0.09631865904815087 0.09639012381086864 0.10259552706009342 0.12166039477512199 0.13487711008363457 0.12163078867248198 0.10029163073501246 0.09264834390187539
5 2.74719121e-04 0.17496695996367573 0.12223026162555253 0.09763720200444864 0.10309844879737907 0.09560907652860708 0.09375171528401834 0.09572804421341329 0.1112357408116684 0.12280428937805249 0.11571544999387975 0.10254244737133672 0.10381133652852625
4 3.55722316e-05 0.17496868295090282 0.12201742188689926 0.09546707030656038 0.09186265235774076 0.09550605866532609 0.09269999159706147 0.0913909402713336 0.08824113433387837 0.08678046613084342 0.08884702102178892 0.09129806697769653 0.08920320293224199
4 3.55722316e-05 0.17498228375214694 0.12045899990719347 0.08484469404647904 0.09141731173133352 0.0961463211535086 0.09501011483402978 0.09800222820099948 0.0990685919201759 0.09890002031107763 0.09862910064287782 0.09845282434484366 0.09834552035023407
4 3.55722316e-05 0.1751048809079191 0.11149018857231634 0.11148762282513587 0.11273291383537826 0.10629377337753355 0.10350050977678017 0.10343695096380483 0.10351215635619868 0.104068900222499 0.1040876461848561 0.10405232558455305 0.10405228791693398
4 3.55722316e-05 0.17709918080520157 0.16272471779723127 0.15441291771090723 0.15418185613345275 0.15418185613345275 0.15418185613345275 0.15418185613345275 0.15418185613345275 0.15418185613345275 0.15418185613345275 0.15418185613345275 0.15418185613345275
4 3.55722316e-05 0.249115183492904 0.249115183492904 0.249115183492904 0.249115183492904 0.249115183492904 0.249115183492904 0.249115183492904 0.249115183492904 0.249115183492904 0.249115183492904 0.249115183492904 0.249115183492904
4 3.55722316e-05 0.2751716123454234 0.2751716123454234 0.2751716123454234 0.2751716123454234 0.2751716123454234 0.2751716123454234 0.2751716123454234 0.2751716123454234 0.2751716123454234 0.2751716123454234 0.2751716123454234 0.2751716123454234
