LambdaIndex LambdaValue PolynomialDegree1 PolynomialDegree2 PolynomialDegree3 PolynomialDegree4 PolynomialDegree5 PolynomialDegree6 PolynomialDegree7 PolynomialDegree8 PolynomialDegree9 PolynomialDegree10 
8 1.26538366e-01 229.7635986961126 75.69566999606579 37.67051547394287 28.41293504367353 22.174727108021923 31.684722606278395 35.43224918538344 39.56734942461358 42.05832292597974 37.36247752033519
7 1.63849245e-02 229.76359750801993 75.69565900262967 37.670475259407695 28.412441032925784 22.174308297650974 31.683438122914094 35.42959506876006 39.56153150306841 42.050832042820915 37.35338119200132
6 2.12161544e-03 229.76358741386537 75.6955683165181 37.67016434881933 28.40862653667317 22.171075316434646 31.673519238970165 35.409085272748115 39.516515107639535 41.992989974151385 37.28263177611554
6 2.12161544e-03 229.76349719191919 75.69488382028345 37.66775011997056 28.379203949101818 22.146169672365666 31.596975526931466 35.25047088480322 39.164385660179235 41.546891332128396 36.71007644684189
5 2.74719121e-04 229.76276023214783 75.68943075294371 37.62438408654176 28.15433694940254 21.957722736381704 31.007407746689157 33.97834286687161 36.12688829154406 38.07222036440682 31.794268599397277
6 2.12161544e-03 229.75797245322497 75.64834757832551 37.3932480530084 26.57020142328833 20.791756231632 26.497745333355013 27.32170267271232 26.60738740773362 24.804169658542897 22.115999182519555
6 2.12161544e-03 229.75282804668112 75.50070659039172 36.59200698396804 25.62268207794228 20.844604508727596 22.827112192984288 23.732313214730237 23.398365660121335 23.060040546816765 22.8801267917851
6 2.12161544e-03 229.71408862952637 74.94486952704949 43.20241629176532 44.67797651919482 44.839579422189786 44.83510320096433 44.84295764878771 44.83929215928109 44.82239420940238 44.71000537332636
6 2.12161544e-03 229.47396056011246 80.71880716269831 84.86404344843478 84.86430708491454 84.86466876954859 84.86427534074484 84.86497922098194 84.86498836199343 84.86500744495535 84.86500868665684
5 2.74719121e-04 231.1414194544596 231.15458877947944 231.15554759083807 231.1548566376514 231.1548566376514 231.1548566376514 231.1548566376514 231.1548566376514 231.1548566376514 231.1548566376514
