LambdaIndex LambdaValue PolynomialDegree1 PolynomialDegree2 PolynomialDegree3 PolynomialDegree4 PolynomialDegree5 PolynomialDegree6 PolynomialDegree7 PolynomialDegree8 PolynomialDegree9 PolynomialDegree10 
7 1.63849245e-02 0.0043678533018033875 0.0017260045272349254 0.0013638668402320112 0.0010828753761995737 0.00142211522051824 0.0012808499673658187 0.000996009667050266 0.0009611250576146069 0.0014913772773489594 0.0017368834882937197
0 1.00000000e-08 0.004367853289970508 0.001726004589292898 0.0013638663640446048 0.001082863150245236 0.0014209500479730366 0.0012561809649857365 0.001010203817398901 0.0010294920136565604 0.0012151200519734853 0.0015642716915862716
7 1.63849245e-02 0.004367853198597932 0.0017260050685977046 0.0013638626866568603 0.0010827687829993837 0.001412111904462316 0.0011072616219612286 0.0010762484964454344 0.0010909882650758018 0.0012403204208265622 0.0014744358538980565
7 1.63849245e-02 0.004367852492984618 0.001726008770506572 0.00136383429204079 0.001082041248783853 0.0013523886408697268 0.0008198951416859694 0.0008728163073192017 0.0010363337879616943 0.0011647326290377433 0.0013503916300805345
7 1.63849245e-02 0.004367847046255508 0.0017260373740134326 0.0013636153187957475 0.001076500360324465 0.0011491741567761647 0.0009137423810291254 0.0006408976495803319 0.0006628226832650396 0.0008976305147238902 0.0011703482903481464
3 4.60609969e-06 0.004367805138654375 0.0017262591242906884 0.0013619428342335719 0.0010378684596242381 0.0010631850554470449 0.001030700696944097 0.0008401856722657748 0.0006406280142001028 0.000573545710730171 0.0006886649433797938
4 3.55722316e-05 0.004367490837241521 0.0017280222892985418 0.0013500985068660065 0.0008727202063583754 0.0010174260839970212 0.0010920273945385457 0.0010420581021991294 0.0009051433947235741 0.0007682625271865306 0.0006994200938206681
5 2.74719121e-04 0.004365620730442908 0.00174463625481659 0.001308443956296954 0.0007279952387583831 0.0008392505826368825 0.00101157639298606 0.0011287553392574637 0.0011506745114817842 0.001085651503121982 0.0009741481229699578
5 2.74719121e-04 0.0043843408694299105 0.0020421418733547227 0.0018231252240826555 0.0015224578280275069 0.0013186504811288837 0.001376483667998173 0.0015552430734374235 0.0017419981101056466 0.0018828362606381345 0.0019597529944326746
5 2.74719121e-04 0.006475034243176303 0.011279627606092139 0.010462750141111385 0.011857008089868708 0.013040008067090268 0.013292525648402158 0.013136130637377072 0.012973066408184856 0.012938172207887266 0.01302929403623817
