LambdaIndex LambdaValue PolynomialDegree1 PolynomialDegree2 PolynomialDegree3 PolynomialDegree4 PolynomialDegree5 PolynomialDegree6 PolynomialDegree7 PolynomialDegree8 PolynomialDegree9 PolynomialDegree10 PolynomialDegree11 PolynomialDegree12 
9 9.77237221e-01 0.042810261966906515 0.047056122403433855 0.02265873750983309 0.025340953535601916 0.02241486517886402 0.02175724982441543 0.04594830802278843 0.07074680907006217 0.07776704676374341 0.06422432770485004 0.03757027201310709 0.01880331791046584
9 9.77237221e-01 0.04281026189036903 0.047056120251503776 0.022658704318557488 0.025339249157624196 0.022337319710193235 0.018733867947735672 0.028257401238904866 0.05771621376618062 0.08373098465160414 0.09185242137675281 0.07861052238808852 0.05092665856528807
6 2.12161544e-03 0.0428102612992824 0.047056103632488105 0.02265844801364921 0.025326124055413866 0.02177996051423785 0.01548575581405157 0.017593097209444495 0.031117256192778615 0.06001995826004913 0.09306735498148368 0.11507786318329485 0.11824224105330197
5 2.74719121e-04 0.04281025673441424 0.047055975287648794 0.022656470186070726 0.02522696279693993 0.019053302944057292 0.020172721247523697 0.015524728749805896 0.015423029206459646 0.02547706307631447 0.04845862795971102 0.08229221576646246 0.11990878188678893
4 3.55722316e-05 0.04281022148105187 0.04705498418191902 0.022641289503295862 0.0245768629867278 0.015744365426614063 0.018922780188777816 0.021034827063493473 0.01871695093306719 0.015262777840623238 0.015611069771081332 0.023727627866803457 0.04168736562923925
5 2.74719121e-04 0.04280994925099987 0.0470473349423213 0.02252950976159917 0.022817869622715124 0.01833144075308448 0.015342715224102535 0.01700403286406235 0.020261426098204836 0.0222523262806502 0.021893911191731057 0.01968705900232536 0.017048754092482788
3 4.60609969e-06 0.042807848437868716 0.04698855335540232 0.02193852992893989 0.024285203713414437 0.023008543451490587 0.01979234634589774 0.017030550085343352 0.016174330273008363 0.017312309180492796 0.01978580563277798 0.02273726960349502 0.025439410577342683
3 4.60609969e-06 0.0427917182230374 0.046551433902651054 0.02325764718730509 0.024820872822548693 0.028235348288940545 0.029374546279099148 0.02833133379419401 0.02612929663430659 0.02371729091917553 0.02173323845959752 0.020509754742650366 0.02015094238893794
4 3.55722316e-05 0.0426726864847352 0.043963845392178375 0.03531201186046014 0.028173919973343564 0.026989203834131385 0.028971811187005203 0.03183153751840314 0.034455344715174065 0.03642812333428227 0.037678539356091154 0.038286575079373025 0.03838582404186794
4 3.55722316e-05 0.0420538120232511 0.038783948429340444 0.04021305100255814 0.038392694224294165 0.03556188345609341 0.033190579530024626 0.031712953711023444 0.031065873379012957 0.03103660744580422 0.03140985230838335 0.03201333824015293 0.03272339111683491
